Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
316,317,Daniel T. Kildee,Michigan,Representative,8,DEM,Daniel T. Kildee,KILDEE,8,MI,1356,"KILDEE, DANIEL T DANIEL T.",DEM,H2MI05119,
317,318,Brian Jaye,Michigan,Representative,9,DEM,Brian Jaye,JAYE,9,MI,1361,"JAYE, BRIAN STEVEN",DEM,H2MI08154,
318,319,Carl J. Marlinga,Michigan,Representative,10,DEM,Carl J. Marlinga,MARLINGA,10,MI,1368,"MARLINGA, CARL",DEM,H2MI10176,
319,320,Haley Stevens,Michigan,Representative,11,DEM,Haley Stevens,STEVENS,11,MI,1380,"STEVENS, HALEY",DEM,H8MI11254,
320,321,Rashida Tlaib,Michigan,Representative,12,DEM,Rashida Tlaib,TLAIB,12,MI,1391,"TLAIB, RASHIDA",DEM,H8MI13250,
321,322,Shri Thanedar,Michigan,Representative,13,DEM,Shri Thanedar,THANEDAR,13,MI,1397,"THANEDAR, SHRI",DEM,H2MI13204,
322,323,Trudy Busch Valentine,Missouri,Senator,N/A,DEM,Trudy Busch Valentine,VALENTINE,0,MO,NA,NA,NA,S2MO00692,
323,324,Cori Bush,Missouri,Representative,1,DEM,Cori Bush,BUSH,1,MO,1479,"BUSH, CORI",DEM,H8MO01143,
324,325,Trish Gunby,Missouri,Representative,2,DEM,Trish Gunby,GUNBY,2,MO,1484,"GUNBY, PATRICIA WASHBURN",DEM,H2MO02201,
325,326,Bethany Mann,Missouri,Representative,3,DEM,Bethany Mann,MANN,3,MO,1491,"MANN, BETHANY EILEEN",DEM,H2MO03167,
326,327,Jack Truman,Missouri,Representative,4,DEM,Jack Truman,TRUMAN,4,MO,NA,NA,NA,H6MO07169,
327,328,Emanuel Cleaver II,Missouri,Representative,5,DEM,Emanuel Cleaver II,II,5,MO,NA,NA,NA,H4MO05234,
328,329,Henry Martin,Missouri,Representative,6,DEM,Henry Martin,MARTIN,6,MO,1517,"MARTIN, HENRY ROBERT",DEM,H8MO06092,
329,330,Kristen Radaker-Sheafer,Missouri,Representative,7,DEM,Kristen Radaker-Sheafer,RADAKER-SHEAFER,7,MO,1521,"RADAKER-SHEAFER, KRISTEN",DEM,H2MO07200,
330,331,Randi McCallian,Missouri,Representative,8,DEM,Randi McCallian,MCCALLIAN,8,MO,1531,"MCCALLIAN, RANDI MCCALLIAN",DEM,H2MO08091,
331,332,Patty Murray,Washington,Senator,N/A,DEM,Patty Murray,MURRAY,0,WA,3851,"MURRAY, PATTY",DEM,S2WA00189,
332,333,Suzan DelBene,Washington,Representative,1,DEM,Suzan DelBene,DELBENE,1,WA,3026,"DELBENE, SUZAN K",DEM,H0WA08046,
333,334,Rick Larsen,Washington,Representative,2,DEM,Rick Larsen,LARSEN,2,WA,3030,"LARSEN, RICK",DEM,H0WA02080,
334,335,Marie Gluesenkamp Perez,Washington,Representative,3,DEM,Marie Gluesenkamp Perez,PEREZ,3,WA,NA,NA,NA,H2WA03217,
335,336,Doug White,Washington,Representative,4,DEM,Doug White,WHITE,4,WA,3046,"WHITE, DOUG",DEM,H2WA04199,
336,337,Natasha Hill,Washington,Representative,5,DEM,Natasha Hill,HILL,5,WA,3054,"HILL, NATASHA",DEM,H2WA05105,
337,338,Derek Kilmer,Washington,Representative,6,DEM,Derek Kilmer,KILMER,6,WA,3060,"KILMER, DEREK",DEM,H2WA06129,
338,339,Pramila Jayapal,Washington,Representative,7,DEM,Pramila Jayapal,JAYAPAL,7,WA,3065,"JAYAPAL, PRAMILA",DEM,H6WA07458,
339,340,Kim Schrier,Washington,Representative,8,DEM,Kim Schrier,SCHRIER,8,WA,3069,"SCHRIER, KIM DR.",DEM,H8WA08189,
340,341,Adam Smith,Washington,Representative,9,DEM,Adam Smith,SMITH,9,WA,3077,"SMITH, D. ADAM",DEM,H6WA09025,
341,342,Marilyn Strickland,Washington,Representative,10,DEM,Marilyn Strickland,STRICKLAND,10,WA,3082,"STRICKLAND, MARILYN",DEM,H0WA10034,
342,343,Cameron Parsons,Tennessee,Representative,1,DEM,Cameron Parsons,PARSONS,1,TN,NA,NA,NA,H2TN01106,
343,344,Mark Harmon,Tennessee,Representative,2,DEM,Mark Harmon,HARMON,2,TN,2499,"HARMON, MARK DESMOND DR.",DEM,H2TN02120,
344,345,Meg Gorman,Tennessee,Representative,3,DEM,Meg Gorman,GORMAN,3,TN,2505,"GORMAN, MEG",DEM,H0TN03452,
345,346,Wayne Steele,Tennessee,Representative,4,DEM,Wayne Steele,STEELE,4,TN,2513,"STEELE, RUSSELL",DEM,H8TN04123,
346,347,Heidi Campbell,Tennessee,Representative,5,DEM,Heidi Campbell,CAMPBELL,5,TN,2521,"CAMPBELL, HEIDI",DEM,H2TN05438,
347,348,Randal Cooper,Tennessee,Representative,6,DEM,Randal Cooper,COOPER,6,TN,2535,"COOPER, RANDAL DEAN",DEM,H2TN06162,
348,349,Odessa Kelly,Tennessee,Representative,7,DEM,Odessa Kelly,KELLY,7,TN,NA,NA,NA,H2TN05305,
349,350,Lynnette P. Williams,Tennessee,Representative,8,DEM,Lynnette P. Williams,WILLIAMS,8,TN,2545,"WILLIAMS, LYNNETTE",DEM,H2TN08184,
350,351,Steve Cohen,Tennessee,Representative,9,DEM,Steve Cohen,COHEN,9,TN,2557,"COHEN, STEVE I MR.",DEM,H6TN09068,
351,352,Richard Blumenthal,Connecticut,Senator,N/A,DEM,Richard Blumenthal,BLUMENTHAL,0,CT,3339,"BLUMENTHAL, RICHARD",DEM,S0CT00177,
352,353,John B. Larson,Connecticut,Representative,1,DEM,John B. Larson,LARSON,1,CT,385,"LARSON, JOHN B",DEM,H8CT01046,
353,354,Joe Courtney,Connecticut,Representative,2,DEM,Joe Courtney,COURTNEY,2,CT,390,"COURTNEY, JOSEPH",DEM,H2CT02112,
354,355,Rosa L. DeLauro,Connecticut,Representative,3,DEM,Rosa L. DeLauro,DELAURO,3,CT,394,"DELAURO, ROSA L",DEM,H0CT03072,
355,356,Jim Himes,Connecticut,Representative,4,DEM,Jim Himes,HIMES,4,CT,400,"HIMES, JIM",DEM,H8CT04172,
356,357,Jahana Hayes,Connecticut,Representative,5,DEM,Jahana Hayes,HAYES,5,CT,408,"HAYES, JAHANA",DEM,H8CT05245,
357,358,Jeff Ettinger,Minnesota,Representative,1,DEM,Jeff Ettinger,ETTINGER,1,MN,NA,NA,NA,H2MN01249,
358,359,Angie Craig,Minnesota,Representative,2,DEM,Angie Craig,CRAIG,2,MN,1430,"CRAIG, ANGELA DAWN",DEM,H6MN02131,
359,360,Dean Phillips,Minnesota,Representative,3,DEM,Dean Phillips,PHILLIPS,3,MN,NA,NA,NA,H8MN03143,
360,361,Betty McCollum,Minnesota,Representative,4,DEM,Betty McCollum,MCCOLLUM,4,MN,1443,"MCCOLLUM, BETTY",DEM,H0MN04049,
361,362,Ilhan Omar,Minnesota,Representative,5,DEM,Ilhan Omar,OMAR,5,MN,1448,"OMAR, ILHAN",DEM,H8MN05239,
362,363,Jeanne Hendricks,Minnesota,Representative,6,DEM,Jeanne Hendricks,HENDRICKS,6,MN,NA,NA,NA,H2MN06214,
363,364,Jill Abahsain,Minnesota,Representative,7,DEM,Jill Abahsain,ABAHSAIN,7,MN,NA,NA,NA,H2MN07162,
364,365,Jen Schultz,Minnesota,Representative,8,DEM,Jen Schultz,SCHULTZ,8,MN,NA,NA,NA,H2MN08152,
365,366,Peter Welch,Vermont,Senator,N/A,DEM,Peter Welch,WELCH,0,VT,3838,"WELCH, PETER",DEM,S2VT00235,
366,367,Becca Balint,Vermont,Representative,At-Large,DEM,Becca Balint,BALINT,0,VT,3018,"BALINT, REBECCA 'BECCA'",DEM,H2VT01076,
367,368,Mandela Barnes,Wisconsin,Senator,N/A,DEM,Mandela Barnes,BARNES,0,WI,3868,"BARNES, MANDELA",DEM,S2WI00441,
368,369,Ann Roe,Wisconsin,Representative,1,DEM,Ann Roe,ROE,1,WI,3093,"ROE, ANN",DEM,H2WI01100,
369,370,Mark Pocan,Wisconsin,Representative,2,DEM,Mark Pocan,POCAN,2,WI,3098,"POCAN, MARK",DEM,H2WI02124,
370,371,Brad Pfaff,Wisconsin,Representative,3,DEM,Brad Pfaff,PFAFF,3,WI,3103,"PFAFF, BRAD",DEM,H2WI03122,
371,372,Gwen Moore,Wisconsin,Representative,4,DEM,Gwen Moore,MOORE,4,WI,3109,"MOORE, GWEN S",DEM,H4WI04183,
372,373,Mike Van Someren,Wisconsin,Representative,5,DEM,Mike Van Someren,SOMEREN,5,WI,NA,NA,NA,H2WI05275,
373,374,"Richard ""Dick"" Ausman",Wisconsin,Representative,7,DEM,"Richard ""Dick"" Ausman",AUSMAN,7,WI,3122,"AUSMAN, RICHARD",DEM,H2WI07123,
374,375,Brian Schatz,Hawaii,Senator,N/A,DEM,Brian Schatz,SCHATZ,0,HI,3413,"SCHATZ, BRIAN",DEM,S4HI00136,
375,376,Ed Case,Hawaii,Representative,1,DEM,Ed Case,CASE,1,HI,838,"CASE, EDWARD",DEM,H2HI02128,
376,377,Jill N. Tokuda,Hawaii,Representative,2,DEM,Jill N. Tokuda,TOKUDA,2,HI,848,"TOKUDA, JILL NAOMI",DEM,H2HI02581,
377,378,Patricia R. Chesbro,Alaska,Senator,N/A,DEM,Patricia R. Chesbro,CHESBRO,0,AK,3246,"CHESBRO, PATRICIA",DEM,S2AK00226,
378,379,Mary S. Peltola,Alaska,Representative,At-Large,DEM,Mary S. Peltola,PELTOLA,0,AK,NA,NA,NA,H2AK01158,
379,380,Lynnette GreyBull,Wyoming,Representative,At-Large,DEM,Lynnette GreyBull,GREYBULL,0,WY,3150,"GREYBULL, LYNNETTE",DEM,H0WY01036,
380,381,Val Demings,Florida,Senator,N/A,DEM,Val Demings,DEMINGS,0,FL,3361,"DEMINGS, VAL",DEM,S2FL00631,
381,382,Rebekah Jones,Florida,Representative,1,DEM,Rebekah Jones,JONES,1,FL,422,"JONES, REBEKAH",DEM,H2FL01233,
382,383,Al Lawson,Florida,Representative,2,DEM,Al Lawson,LAWSON,2,FL,431,"LAWSON, ALFRED JR",DEM,H0FL02086,
383,384,Danielle Hawk,Florida,Representative,3,DEM,Danielle Hawk,HAWK,3,FL,435,"HAWK, DANIELLE NICOLE",DEM,H2FL03163,
384,385,"LaShonda ""L.J."" Holloway",Florida,Representative,4,DEM,"LaShonda ""L.J."" Holloway",HOLLOWAY,4,FL,451,"HOLLOWAY, LASHONDA J",DEM,H6FL05193,
385,386,Karen Green,Florida,Representative,7,DEM,Karen Green,GREEN,7,FL,468,"GREEN, KAREN REV. DR.",DEM,H2FL08139,
386,387,Joanne Terry,Florida,Representative,8,DEM,Joanne Terry,TERRY,8,FL,487,"TERRY, JOANNE R",DEM,H2FL08105,
387,388,Darren Soto,Florida,Representative,9,DEM,Darren Soto,SOTO,9,FL,493,"SOTO, DARREN",DEM,H6FL09179,
388,389,Maxwell Alejandro Frost,Florida,Representative,10,DEM,Maxwell Alejandro Frost,FROST,10,FL,509,"FROST, MAXWELL ALEJANDRO",DEM,H2FL10259,
389,390,Shante Munns,Florida,Representative,11,DEM,Shante Munns,MUNNS,11,FL,524,"MUNNS, SHANTE",DEM,H2FL11174,
390,391,Kimberly Walker,Florida,Representative,12,DEM,Kimberly Walker,WALKER,12,FL,531,"WALKER, KIMBERLY H MS",DEM,H6FL13197,
391,392,Eric Lynn,Florida,Representative,13,DEM,Eric Lynn,LYNN,13,FL,538,"LYNN, ERIC",DEM,H6FL13189,
392,393,Kathy Castor,Florida,Representative,14,DEM,Kathy Castor,CASTOR,14,FL,552,"CASTOR, KATHY",DEM,H6FL11126,
393,394,Alan M. Cohn,Florida,Representative,15,DEM,Alan M. Cohn,COHN,15,FL,565,"COHN, ALAN",DEM,H4FL15155,
394,395,Jan Schneider,Florida,Representative,16,DEM,Jan Schneider,SCHNEIDER,16,FL,575,"SCHNEIDER, JAN",DEM,H2FL13139,
395,396,Andrea Doria Kale,Florida,Representative,17,DEM,Andrea Doria Kale,KALE,17,FL,580,"KALE, ANDREA DORIA",DEM,H2FL17106,
396,397,Cindy Banyai,Florida,Representative,19,DEM,Cindy Banyai,BANYAI,19,FL,591,"BANYAI, CINDY LYN",DEM,H0FL19106,
397,398,Sheila Cherfilus-McCormick,Florida,Representative,20,DEM,Sheila Cherfilus-McCormick,CHERFILUS-MCCORMICK,20,FL,609,"CHERFILUS-MCCORMICK, SHEILA",DEM,H8FL20032,
398,399,Corinna Balderramos Robinson,Florida,Representative,21,DEM,Corinna Balderramos Robinson,ROBINSON,21,FL,NA,NA,NA,H2FL18096,
399,400,Lois Frankel,Florida,Representative,22,DEM,Lois Frankel,FRANKEL,22,FL,626,"FRANKEL, LOIS J.",DEM,H2FL14053,
400,401,Jared Moskowitz,Florida,Representative,23,DEM,Jared Moskowitz,MOSKOWITZ,23,FL,640,"MOSKOWITZ, JARED",DEM,H2FL22171,
401,402,Frederica Wilson,Florida,Representative,24,DEM,Frederica Wilson,WILSON,24,FL,659,"WILSON, FREDERICA S.",DEM,H0FL17068,
402,403,Debbie Wasserman Schultz,Florida,Representative,25,DEM,Debbie Wasserman Schultz,SCHULTZ,25,FL,NA,NA,NA,H4FL20023,
403,404,Christine Alexandria Olivo,Florida,Representative,26,DEM,Christine Alexandria Olivo,OLIVO,26,FL,674,"OLIVO, CHRISTINE ALEXANDRIA",DEM,H2FL24037,
404,405,Annette Taddeo,Florida,Representative,27,DEM,Annette Taddeo,TADDEO,27,FL,684,"TADDEO, ANNETTE",DEM,H8FL00034,
405,406,Robert Asencio,Florida,Representative,28,DEM,Robert Asencio,ASENCIO,28,FL,691,"ASENCIO, ROBERT",DEM,H2FL28038,
406,407,Bridget Fleming,New York,Representative,1,DEM,Bridget Fleming,FLEMING,1,NY,1916,"FLEMING, BRIDGET",DEM,H0NY01202,
407,408,Jackie Gordon,New York,Representative,2,DEM,Jackie Gordon,GORDON,2,NY,1928,"GORDON, JACQUELINE",DEM,H0NY02192,
408,409,Robert P. Zimmerman,New York,Representative,3,DEM,Robert P. Zimmerman,ZIMMERMAN,3,NY,1940,"ZIMMERMAN, ROBERT",DEM,H2NY03188,
409,410,Laura A. Gillen,New York,Representative,4,DEM,Laura A. Gillen,GILLEN,4,NY,1950,"GILLEN, LAURA",DEM,H2NY04244,
410,411,Gregory Meeks,New York,Representative,5,DEM,Gregory Meeks,MEEKS,5,NY,1961,"MEEKS, GREGORY W.",DEM,H8NY06048,
411,412,Grace Meng,New York,Representative,6,DEM,Grace Meng,MENG,6,NY,1965,"MENG, GRACE",DEM,H2NY06116,
412,413,Nydia M. Velazquez,New York,Representative,7,DEM,Nydia M. Velazquez,VELAZQUEZ,7,NY,1969,"VELAZQUEZ, NYDIA M.",DEM,H2NY00010,
413,414,Hakeem S. Jeffries,New York,Representative,8,DEM,Hakeem S. Jeffries,JEFFRIES,8,NY,1970,"JEFFRIES, HAKEEM",DEM,H2NY10092,
414,415,Yvette Clarke,New York,Representative,9,DEM,Yvette Clarke,CLARKE,9,NY,1976,"CLARKE, YVETTE  D.",DEM,H4NY11138,
415,416,Daniel Goldman,New York,Representative,10,DEM,Daniel Goldman,GOLDMAN,10,NY,1990,"GOLDMAN, DANIEL",DEM,H2NY10308,
416,417,Max N. Rose,New York,Representative,11,DEM,Max N. Rose,ROSE,11,NY,1997,"ROSE, MAX",DEM,H2NY11140,
417,418,Jerrold L. Nadler,New York,Representative,12,DEM,Jerrold L. Nadler,NADLER,12,NY,2014,"NADLER, JERROLD L.",DEM,H2NY17071,
418,419,Adriano Espaillat,New York,Representative,13,DEM,Adriano Espaillat,ESPAILLAT,13,NY,2019,"ESPAILLAT, ADRIANO",DEM,H2NY13096,
419,420,Alexandria Ocasio-Cortez,New York,Representative,14,DEM,Alexandria Ocasio-Cortez,OCASIO-CORTEZ,14,NY,2023,"OCASIO-CORTEZ, ALEXANDRIA",DEM,H8NY15148,
420,421,Ritchie J. Torres,New York,Representative,15,DEM,Ritchie J. Torres,TORRES,15,NY,2033,"TORRES, RITCHIE JOHN",DEM,H0NY15160,
421,422,Jamaal Bowman,New York,Representative,16,DEM,Jamaal Bowman,BOWMAN,16,NY,2040,"BOWMAN, JAMAAL",DEM,H0NY16143,
422,423,Sean Patrick Maloney,New York,Representative,17,DEM,Sean Patrick Maloney,MALONEY,17,NY,2052,"MALONEY, SEAN PATRICK",DEM,H2NY22139,
423,424,Pat Ryan,New York,Representative,18,DEM,Pat Ryan,RYAN,18,NY,2062,"RYAN, PATRICK",DEM,H8NY19223,
424,425,Josh Riley,New York,Representative,19,DEM,Josh Riley,RILEY,19,NY,2069,"RILEY, JOSH",DEM,H8NY22177,
425,426,Paul D. Tonko,New York,Representative,20,DEM,Paul D. Tonko,TONKO,20,NY,2080,"TONKO, PAUL DAVID",DEM,H8NY21203,
426,427,Matt Castelli,New York,Representative,21,DEM,Matt Castelli,CASTELLI,21,NY,2086,"CASTELLI, MATT",DEM,H2NY21164,
427,428,Francis Conole,New York,Representative,22,DEM,Francis Conole,CONOLE,22,NY,2090,"CONOLE, FRANCIS",DEM,H0NY24063,
428,429,Max H. Della Pia,New York,Representative,23,DEM,Max H. Della Pia,PIA,23,NY,NA,NA,NA,H8NY23175,
429,430,Steven Holden,New York,Representative,24,DEM,Steven Holden,HOLDEN,24,NY,2108,"HOLDEN, STEVEN WESLEY SR.",DEM,H2NY24127,
430,431,Joseph D. Morelle,New York,Representative,25,DEM,Joseph D. Morelle,MORELLE,25,NY,2118,"MORELLE, JOSEPH D",DEM,H8NY25105,
431,432,Brian Higgins,New York,Representative,26,DEM,Brian Higgins,HIGGINS,26,NY,2122,"HIGGINS, BRIAN",DEM,H4NY27076,
432,433,Richard E. Neal,Massachusetts,Representative,1,DEM,Richard E. Neal,NEAL,1,MA,1194,"NEAL, RICHARD E MR.",DEM,H8MA02041,
433,434,James P. McGovern,Massachusetts,Representative,2,DEM,James P. McGovern,MCGOVERN,2,MA,1197,"MCGOVERN, JAMES P. MR.",DEM,H4MA03022,
434,435,Lori Loureiro Trahan,Massachusetts,Representative,3,DEM,Lori Loureiro Trahan,TRAHAN,3,MA,1202,"TRAHAN, LORI",DEM,H8MA03106,
435,436,Jake Auchincloss,Massachusetts,Representative,4,DEM,Jake Auchincloss,AUCHINCLOSS,4,MA,1211,"AUCHINCLOSS, JAKE",DEM,H0MA04192,
436,437,Katherine M. Clark,Massachusetts,Representative,5,DEM,Katherine M. Clark,CLARK,5,MA,1216,"CLARK, KATHERINE",DEM,H4MA05084,
437,438,Seth Moulton,Massachusetts,Representative,6,DEM,Seth Moulton,MOULTON,6,MA,1221,"MOULTON, SETH",DEM,H4MA06090,
438,439,Ayanna S. Pressley,Massachusetts,Representative,7,DEM,Ayanna S. Pressley,PRESSLEY,7,MA,1226,"PRESSLEY, AYANNA",DEM,H8MA07032,
439,440,Stephen F. Lynch,Massachusetts,Representative,8,DEM,Stephen F. Lynch,LYNCH,8,MA,1229,"LYNCH, STEPHEN",DEM,H2MA09072,
440,441,Bill Keating,Massachusetts,Representative,9,DEM,Bill Keating,KEATING,9,MA,1233,"KEATING, WILLIAM R",DEM,H0MA10082,
441,442,Lisa Blunt Rochester,Delaware,Representative,At-Large,DEM,Lisa Blunt Rochester,ROCHESTER,0,DE,NA,NA,NA,H6DE00206,
442,443,Maggie Hassan,New Hampshire,Senator,N/A,DEM,Maggie Hassan,HASSAN,0,NH,3632,"HASSAN, MARGARET WOOD",DEM,S6NH00091,
443,444,Chris Pappas,New Hampshire,Representative,1,DEM,Chris Pappas,PAPPAS,1,NH,1727,"PAPPAS, CHRIS",DEM,H8NH01210,
444,445,Ann McLane Kuster,New Hampshire,Representative,2,DEM,Ann McLane Kuster,KUSTER,2,NH,1736,"KUSTER, ANN MCLANE",DEM,H0NH02181,
445,446,David N. Cicilline,Rhode Island,Representative,1,DEM,David N. Cicilline,CICILLINE,1,RI,2424,"CICILLINE, DAVID N",DEM,H0RI01073,
446,447,Seth M. Magaziner,Rhode Island,Representative,2,DEM,Seth M. Magaziner,MAGAZINER,2,RI,2433,"MAGAZINER, SETH",DEM,H2RI02184,
447,448,Nathaniel Moran,Texas,Representative,1,GOP,Nathaniel Moran,MORAN,1,TX,2567,"MORAN, NATHANIEL QUENTIN",REP,H2TX01112,
448,449,Dan Crenshaw,Texas,Representative,2,GOP,Dan Crenshaw,CRENSHAW,2,TX,2580,"CRENSHAW, DANIEL",REP,H8TX02166,
449,450,Keith Self,Texas,Representative,3,GOP,Keith Self,SELF,3,TX,2587,"SELF, KEITH ALAN MR",REP,H2TX03290,
450,451,Pat Fallon,Texas,Representative,4,GOP,Pat Fallon,FALLON,4,TX,2594,"FALLON, PATRICK",REP,H0TX04219,
451,452,Lance Gooden,Texas,Representative,5,GOP,Lance Gooden,GOODEN,5,TX,2606,"GOODEN, LANCE",REP,H8TX05144,
452,453,Jake Ellzey,Texas,Representative,6,GOP,Jake Ellzey,ELLZEY,6,TX,2625,"ELLZEY, JOHN KEVIN SR.",REP,H8TX06266,
453,454,Johnny Teague,Texas,Representative,7,GOP,Johnny Teague,TEAGUE,7,TX,2630,"TEAGUE, JOHNNY MARK DR.",REP,H0TX09176,
454,455,Morgan Luttrell,Texas,Representative,8,GOP,Morgan Luttrell,LUTTRELL,8,TX,2637,"LUTTRELL, MORGAN JOE",REP,H2TX08182,
455,456,Jimmy I. Leon,Texas,Representative,9,GOP,Jimmy I. Leon,LEON,9,TX,2646,"LEON, JIMMY",REP,H2TX09156,
456,457,Michael McCaul,Texas,Representative,10,GOP,Michael McCaul,MCCAUL,10,TX,2650,"MCCAUL, MICHAEL",REP,H4TX10093,
457,458,August Pfluger,Texas,Representative,11,GOP,August Pfluger,PFLUGER,11,TX,2652,"PFLUGER, AUGUST LEE II",REP,H0TX11230,
458,459,Kay Granger,Texas,Representative,12,GOP,Kay Granger,GRANGER,12,TX,2659,"GRANGER, KAY",REP,H6TX12060,
459,460,Ronny Jackson,Texas,Representative,13,GOP,Ronny Jackson,JACKSON,13,TX,2663,"JACKSON, RONNY LYNN",REP,H0TX13228,
460,461,Randy Weber,Texas,Representative,14,GOP,Randy Weber,WEBER,14,TX,2669,"WEBER, RANDY",REP,H2TX14149,
461,462,Monica De La Cruz,Texas,Representative,15,GOP,Monica De La Cruz,CRUZ,15,TX,NA,NA,NA,H0TX15124,
462,463,Irene Armendariz-Jackson,Texas,Representative,16,GOP,Irene Armendariz-Jackson,ARMENDARIZ-JACKSON,16,TX,2690,"ARMENDARIZ-JACKSON, IRENE",REP,H0TX16106,
463,464,Pete Sessions,Texas,Representative,17,GOP,Pete Sessions,SESSIONS,17,TX,2696,"SESSIONS, PETE",REP,H2TX03126,
464,465,Carmen Maria Montiel,Texas,Representative,18,GOP,Carmen Maria Montiel,MONTIEL,18,TX,2702,"MONTIEL, CARMEN",REP,H2TX18207,
465,466,Jodey C. Arrington,Texas,Representative,19,GOP,Jodey C. Arrington,ARRINGTON,19,TX,2704,"ARRINGTON, JODEY COOK",REP,H6TX19099,
466,467,Kyle Sinclair,Texas,Representative,20,GOP,Kyle Sinclair,SINCLAIR,20,TX,2708,"SINCLAIR, KYLE E MR",REP,H2TX20096,
467,468,Chip Roy,Texas,Representative,21,GOP,Chip Roy,ROY,21,TX,2726,"ROY, CHIP",REP,H8TX21307,
468,469,Troy E. Nehls,Texas,Representative,22,GOP,Troy E. Nehls,NEHLS,22,TX,2733,"NEHLS, TROY",REP,H0TX22302,
469,470,Tony Gonzales,Texas,Representative,23,GOP,Tony Gonzales,GONZALES,23,TX,2745,"GONZALES, ERNEST ANTHONY TONY II",REP,H0TX35015,
470,471,Beth Van Duyne,Texas,Representative,24,GOP,Beth Van Duyne,DUYNE,24,TX,NA,NA,NA,NA,C00714865
471,472,Roger Williams,Texas,Representative,25,GOP,Roger Williams,WILLIAMS,25,TX,2761,"WILLIAMS, ROGER",REP,H2TX33040,
472,473,Michael C. Burgess,Texas,Representative,26,GOP,Michael C. Burgess,BURGESS,26,TX,2764,"BURGESS, MICHAEL C. DR.",REP,H2TX26093,
473,474,Michael Cloud,Texas,Representative,27,GOP,Michael Cloud,CLOUD,27,TX,2778,"CLOUD, MICHAEL",REP,H8TX27049,
474,475,Cassy Garcia,Texas,Representative,28,GOP,Cassy Garcia,GARCIA,28,TX,2789,"GARCIA, CASSANDRA",REP,H2TX28149,
475,476,Robert Schafranek,Texas,Representative,29,GOP,Robert Schafranek,SCHAFRANEK,29,TX,NA,NA,NA,H6TX29080,
476,477,James Rodgers,Texas,Representative,30,GOP,James Rodgers,RODGERS,30,TX,2808,"RODGERS, JAMES BYRON MR.",REP,H2TX30236,
477,478,John Carter,Texas,Representative,31,GOP,John Carter,CARTER,31,TX,2817,"CARTER, JOHN R. REP.",REP,H2TX31044,
478,479,Antonio Swad,Texas,Representative,32,GOP,Antonio Swad,SWAD,32,TX,2828,"SWAD, ANTONIO",REP,H2TX32166,
