Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
38,38,Jeannine Lee Lake,Indiana,Representative,5,DEM,Jeannine Lee Lake,LAKE,5,IN,NA,NA,NA,H8IN06202,
39,39,"Cynthia ""Cinde"" Wirth",Indiana,Representative,6,DEM,"Cynthia ""Cinde"" Wirth",WIRTH,6,IN,1066,"WIRTH, CYNTHIA",DEM,H2IN06304,
40,40,André D. Carson,Indiana,Representative,7,DEM,André D. Carson,CARSON,7,IN,1070,"CARSON, ANDRE",DEM,H8IN07184,
41,41,Ray McCormick,Indiana,Representative,8,DEM,Ray McCormick,MCCORMICK,8,IN,1075,"MCCORMICK, RAY",DEM,H2IN08169,
42,42,Matthew Fyfe,Indiana,Representative,9,DEM,Matthew Fyfe,FYFE,9,IN,1079,"FYFE, MATTHEW JOHN",DEM,H2IN09191,
43,43,Tim Ryan,Ohio,Senator,N/A,DEM,Tim Ryan,RYAN,0,OH,3696,"RYAN, TIMOTHY",DEM,S2OH00402,
44,44,Greg Landsman,Ohio,Representative,1,DEM,Greg Landsman,LANDSMAN,1,OH,2130,"LANDSMAN, GREG",DEM,H2OH01194,
45,45,Samantha Meadows,Ohio,Representative,2,DEM,Samantha Meadows,MEADOWS,2,OH,2137,"MEADOWS, SAMANTHA",DEM,H2OH02127,
46,46,Joyce Beatty,Ohio,Representative,3,DEM,Joyce Beatty,BEATTY,3,OH,2143,"BEATTY, JOYCE",DEM,H2OH03125,
47,47,Tamie Wilson,Ohio,Representative,4,DEM,Tamie Wilson,WILSON,4,OH,2148,"WILSON, TAMIE",DEM,H2OH04156,
48,48,Craig Swartz,Ohio,Representative,5,DEM,Craig Swartz,SWARTZ,5,OH,2151,"SWARTZ, CRAIG STEPHEN",DEM,H2OH05062,
49,49,Louis G. Lyras,Ohio,Representative,6,DEM,Louis G. Lyras,LYRAS,6,OH,2154,"LYRAS, LOUIS GEORGE",DEM,H8OH13154,
50,50,Matthew Diemer,Ohio,Representative,7,DEM,Matthew Diemer,DIEMER,7,OH,2159,"DIEMER, MATTHEW",DEM,H2OH16044,
51,51,Vanessa Enoch,Ohio,Representative,8,DEM,Vanessa Enoch,ENOCH,8,OH,2165,"ENOCH, VANESSA",DEM,H8OH08097,
52,52,Marcy Kaptur,Ohio,Representative,9,DEM,Marcy Kaptur,KAPTUR,9,OH,2168,"KAPTUR, MARCY",DEM,H2OH09031,
53,53,David Esrati,Ohio,Representative,10,DEM,David Esrati,ESRATI,10,OH,2175,"ESRATI, DAVID",DEM,H8OH03098,
54,54,Shontel Brown,Ohio,Representative,11,DEM,Shontel Brown,BROWN,11,OH,2178,"BROWN, M SHONTEL",DEM,H2OH11169,
55,55,Amy Rippel-Elton,Ohio,Representative,12,DEM,Amy Rippel-Elton,RIPPEL-ELTON,12,OH,NA,NA,NA,H2OH12134,
56,56,Emilia Sykes,Ohio,Representative,13,DEM,Emilia Sykes,SYKES,13,OH,2197,"SYKES, EMILIA",DEM,H2OH13264,
57,57,Matt Kilboy,Ohio,Representative,14,DEM,Matt Kilboy,KILBOY,14,OH,2210,"KILBOY, MATTHEW",DEM,H2OH13223,
58,58,Gary Josephson,Ohio,Representative,15,DEM,Gary Josephson,JOSEPHSON,15,OH,2217,"JOSEPHSON, GARY",DEM,H2OH15277,
59,59,Lacy Watson,West Virginia,Representative,1,DEM,Lacy Watson,WATSON,1,WV,NA,NA,NA,H0WV03144,
60,60,Barry Lee Wendell,West Virginia,Representative,2,DEM,Barry Lee Wendell,WENDELL,2,WV,3136,"WENDELL, BARRY LEE MR.",DEM,H2WV02191,
61,61,Patty Pansing Brooks,Nebraska,Representative,1,DEM,Patty Pansing Brooks,BROOKS,1,NE,NA,NA,NA,H2NE01092,
