"","Candidate","State","State_processed","District","Party","GOP.Num","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Senator.Num","Trump.Num","Party.Committee.Num","Emily.s.List.Num","Maggie.s.List.Num","Sanders.Num","Renew.America.Num","Winner.Num","2020.White.%","Pres_2020","Comp","Dem-Rep.2020","Dem-Rep.Comp","total_fundraised_sum"
"71","Bennie G. Thompson","Mississippi","MS","2","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.31768467376901,0.624581099447066,0.637902263623355,0.260817909892503,0.283303471490482,296608.43
"72","Beth Van Duyne","Texas","TX","24","GOP",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.616013048461056,0.553649067528721,0.586306278695578,-0.123446307454655,-0.195244859108028,928554.39
"73","Bethany Mann","Missouri","MO","3","DEM",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845516556532409,0.359891958108664,0.362545240571019,-0.261266078260084,-0.244238628394554,3400
"74","Betty McCollum","Minnesota","MN","4","DEM",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.62225646000628,0.6758973456666,0.647841810083815,0.375110597225015,0.350709398468582,646701
"75","Bill Foster","Illinois","IL","11","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.62977774298539,0.565969237401977,0.518169403053018,0.15300068086762,0.0839428241934994,1292890.35
"76","Bill Johnson","Ohio","OH","6","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.855595387920623,0.63679013583279,0.586768096171374,-0.287228710340334,-0.196268474447033,249795
"77","Bill Keating","Massachusetts","MA","9","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.829667572224882,0.579664780148019,0.51727736638146,0.181088376142795,0.0560462469145276,154867
"78","Bill Pascrell Jr.","New Jersey","NJ","9","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.382533740900966,0.589785675055319,0.588854738320077,0.190181244424408,0.1957441161614,176798.82
"79","Bill Posey","Florida","FL","8","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.715536887318469,0.581186288422231,0.587553671479891,-0.175955700789383,-0.1973629867448,232200.05
"80","Billy Prempeh","New Jersey","NJ","9","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382533740900966,0.399604430630911,0.393110622158677,0.190181244424408,0.1957441161614,29014.75
"81","Blaine Luetkemeyer","Missouri","MO","3","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.845516556532409,0.621158036368748,0.606783868965573,-0.261266078260084,-0.244238628394554,395291.449999999
"82","Blake D. Moore","Utah","UT","1","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.787137610281891,0.569638183704312,0,-0.193435596067466,0,604426.87
"83","Blake Masters","Arizona","AZ","N/A","GOP",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.53367068903847,0.490854265537941,0.50106373751211,0.00308894884757421,-0.0220839446819895,7914528.43
"84","Bo Hines","North Carolina","NC","13","GOP",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.589083642898333,0.482796509151758,0.481547991473479,0.0169401399665834,0.0130498021402976,797341.58
"85","Bob Christian","Georgia","GA","6","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637010936617804,0.418357061257404,0.368080834508805,-0.147609127650792,-0.238863357146107,30323.88
"86","Bob Good","Virginia","VA","5","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.68226153733005,0.53238629707137,0.546850306614396,-0.0824054782311066,-0.108195838785588,409538.08
"87","Bob Healey","New Jersey","NJ","3","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632764541967857,0.42286955712395,0.449318189704028,0.141135101144817,0.0847144955529083,941366.89
"88","Bob Hernandez","Kansas","KS","4","DEM",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.696212234672621,0.379684676225105,0.367420814479638,-0.217460107324612,-0.215838892565235,9125
"89","Bob Hollister","Pennsylvania","PA","11","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818065695339302,0.386183203030547,0.385191038667712,-0.212548863544773,-0.202611854481551,147585.72
"90","Bob Latta","Ohio","OH","5","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.838816216010068,0.626204768399584,0.602185835735574,-0.267954610200856,-0.229265402843602,183966.54
"91","Bob Lorinser","Michigan","MI","1","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894452361760439,0.393412311066199,0.397473316166692,-0.197794070219948,-0.17779426926391,205731.77
"92","Bob May","Massachusetts","MA","6","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766767677931535,0.351517617453375,0.417489301220166,0.274783181711637,0.141863361112621,12436
"93","Bob McDermott","Hawaii","HI","N/A","GOP",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.21601818492913,0.342688639421797,0.306348620959194,0.294647752968393,0.35291429790807,0
"94","Bonnie Watson Coleman","New Jersey","NJ","12","DEM",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.398460815597344,0.665274621158716,0.638846311608126,0.34342166853714,0.29571540625922,145004
"95","Brad Allen","California","CA","24","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497259813607173,0.342896394602847,0.367671128868642,0.290617740357613,0.242990857775869,3500
"96","Brad Finstad","Minnesota","MN","1","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.824160849895768,0.533866013902039,0.498195874003741,-0.0917924598501002,-0.0482193675363706,672554.85
"97","Brad Pfaff","Wisconsin","WI","3","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891447993528035,0.466941804761268,0.488851502065833,-0.0466591155050239,0.00361265566638774,650250.01
"98","Brad Schneider","Illinois","IL","10","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.578921739684241,0.619839381822476,0.561023684831629,0.258639694510525,0.162907372087238,778053.06
"99","Brad Sherman","California","CA","32","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.524552894416884,0.694593331895799,0.704111111461922,0.407320128556613,0.425202145696452,437500
"100","Brad Wenstrup","Ohio","OH","2","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.915392135301394,0.720086939047478,0.689762529760088,-0.453587557774276,-0.400226192732916,272198.75
"101","Brandon M. Williams","New York","NY","22","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.758714289207705,0.451546696396191,0.431323255844207,0.0744805168638934,0.102987472518895,438600.85
"102","Brendan F. Boyle","Pennsylvania","PA","2","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.374221594660496,0.710025631072944,0.743420930895257,0.427384507796786,0.501189802119069,181425
"103","Brian Babin","Texas","TX","36","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.49333430683962,0.651630035187228,0.65391057599464,-0.315936662990389,-0.324503911561275,311024.88
"104","Brian E. Hawkins","California","CA","25","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242943485494437,0.413679873025926,0.420392867023819,0.153077650979638,0.14347946376921,148583.79
"105","Brian Fitzpatrick","Pennsylvania","PA","1","GOP",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.79857909751512,0.471538473086962,0.462283759391767,0.0463989053341369,0.0561964526346671,696685.62
"106","Brian Flowers","Mississippi","MS","2","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31768467376901,0.363763189554563,0.354598792132874,0.260817909892503,0.283303471490482,20470
"107","Brian Higgins","New York","NY","26","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.647623913891252,0.607747598896251,0.613764191411111,0.233813273087968,0.252570618130245,68584
"108","Brian Jaye","Michigan","MI","9","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879372149860251,0.345575026086208,0.355886746944579,-0.29449769258076,-0.261548628307093,5300
"109","Brian L. Bengs","South Dakota","SD","N/A","DEM",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.795770001590225,0.356052521361353,0.366747796804084,-0.26164137536115,-0.25473154199429,192605.92
"110","Brian Maryott","California","CA","49","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578529655274246,0.431736374783203,0.459657304957719,0.114093843827174,0.0600317332483908,1161345.89
"111","Brian Mast","Florida","FL","21","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.639349419737631,0.542920515560124,0.537575135126205,-0.0942443545805777,-0.0878988047216387,1722988.67999998
"112","Brian Schatz","Hawaii","HI","N/A","DEM",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.21601818492913,0.63733639239019,0.659262918867264,0.294647752968393,0.35291429790807,412551.4
"113","Bridget Fleming","New York","NY","1","DEM",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.715768027378113,0.493800436192325,0.511178004280255,0.00212975441487612,0.0404171642292185,1335458.8
"114","Brittany Pettersen","Colorado","CO","7","DEM",1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.748912632309681,0.556961227094718,0.517516439036565,0.141729526857918,0.0792088505153493,1767369.66
"115","Bruce Poliquin","Maine","ME","2","GOP",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.908668780645351,0.515983248548379,0.529091654763757,-0.0611325214531628,-0.116751283392966,910882.010000001
"116","Bruce Westerman","Arkansas","AR","4","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.668384487296272,0.662482188371766,0.658448426310405,-0.35246619971769,-0.340739152674971,774065.91
"117","Bryan Steil","Wisconsin","WI","1","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.741978919935117,0.501380291963408,0.493651052234054,-0.0200230977297364,-0.0109118374479807,1177446.16
"118","Burgess Owens","Utah","UT","4","GOP",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.741793657935406,0.600120352153699,0,-0.256020355451018,0,801005.949999998
"119","Buzz A. Kelley","Alaska","AK","N/A","GOP",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.575079323307758,0.531228937631618,0.527586302441067,-0.101163691483322,-0.109981928285773,0
"120","C.A. Dutch Ruppersberger","Maryland","MD","2","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.593789644911312,0.589495900641286,0.525346711494011,0.206614274697622,0.0843314421797297,79260
"121","Caesar Gonzales","Georgia","GA","13","GOP",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.163507973081945,0.193270589877674,0.205293055173201,0.603535426979298,0.575863990707106,6750
"122","Calvin B. Wimbish","Florida","FL","10","GOP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354838206445222,0.334364054778881,0.3394479800039,0.316851700987709,0.299306872773041,136327.41
