"","committee_id","total_fundraised"
"977","C00706697",2800
"978","C00706747",1841993.49
"979","C00706788",180344
"980","C00707059",1323.23
"981","C00707091",29638.28
"982","C00707414",263.7
"983","C00708073",9030
"984","C00708081",75
"985","C00708263",350655.92
"986","C00708289",1934672.42999999
"987","C00708479",291811.7
"988","C00708628",230
"989","C00708644",15000
"990","C00709006",1975155.92
"991","C00709196",554661.43
"992","C00709501",3100
"993","C00709691",45
"994","C00709782",24750
"995","C00709881",225
"996","C00710103",1893604.31
"997","C00710533",10549
"998","C00710632",34341.67
"999","C00710962",910149.68
"1000","C00711010",617979.44
"1001","C00711150",1161786.92
"1002","C00711317",1926137.41
"1003","C00711358",19556.66
"1004","C00711416",3625
"1005","C00712257",250
"1006","C00712398",119348.74
"1007","C00713297",1600
"1008","C00713511",23266.25
"1009","C00714261",1968811.97
"1010","C00714295",8398
"1011","C00714378",100723.52
"1012","C00714543",407023.77
"1013","C00714865",928554.39
"1014","C00715854",1611769.44
"1015","C00715896",500
"1016","C00716399",294696.17
"1017","C00716498",2299387.4
"1018","C00716670",250
"1019","C00716720",193073.64
"1020","C00717587",18474
"1021","C00717876",1307486.3
"1022","C00717959",327292.59
"1023","C00718155",24558.03
"1024","C00718239",1345952.65
"1025","C00718346",329230.75
"1026","C00718627",1274184.22
"1027","C00718635",408471.6
"1028","C00718650",500887
"1029","C00718866",549638.000000005
"1030","C00719070",8553
"1031","C00719104",11400
"1032","C00719294",788755.94
"1033","C00719559",205189.66
"1034","C00720011",219277.92
"1035","C00720078",186117.48
"1036","C00720094",6316.13
"1037","C00720375",402315.32
"1038","C00720573",2875.5
"1039","C00720649",1000
"1040","C00720870",414631.29
"1041","C00720912",1381877.32
"1042","C00720920",10000
"1043","C00721019",511407.66
"1044","C00721308",409538.08
"1045","C00721332",494980.94
"1046","C00721365",837438.88
"1047","C00721449",617137.19
"1048","C00721548",41596.8
"1049","C00721597",4720
"1050","C00721878",75133
"1051","C00721993",96.25
"1052","C00722207",6544.69
"1053","C00722363",23841.7
"1054","C00722470",7126
"1055","C00722892",1308438.32
"1056","C00723007",85436.23
"1057","C00723734",3940
"1058","C00723916",700276.08
"1059","C00724245",156270.03
"1060","C00724609",750
"1061","C00724799",76750
"1062","C00724914",-350
"1063","C00725101",1876836.8
"1064","C00725184",40
"1065","C00725267",84212
"1066","C00725465",306747
"1067","C00725853",801005.949999998
"1068","C00726018",665090.279999997
"1069","C00726042",356328.92
"1070","C00726075",6845
"1071","C00726372",19291.32
"1072","C00726422",6340.38
"1073","C00726513",153084.45
"1074","C00726539",8302.71
"1075","C00726687",565961.25
"1076","C00727164",400435.84
"1077","C00727529",754424.009999999
"1078","C00728238",1737983.22
"1079","C00728311",300
"1080","C00728832",1335458.8
"1081","C00728873",33094.86
"1082","C00729277",575145.45
"1083","C00729319",3005
"1084","C00729954",696767.34
"1085","C00730150",188179.5
"1086","C00730531",1116042.64
"1087","C00730812",28720.95
"1088","C00730820",63791.23
"1089","C00730895",518269.74
"1090","C00731166",4089.32
"1091","C00731307",500
"1092","C00731406",2065.29
"1093","C00731422",240181
"1094","C00731802",500
"1095","C00731885",4150
"1096","C00731950",4315
"1097","C00732651",30408
"1098","C00732826",412623.730000001
"1099","C00732925",1183876.48
"1100","C00732958",418571.729999999
"1101","C00733329",1181336.73
"1102","C00733485",147089.96
"1103","C00733840",3500
"1104","C00734426",1050
"1105","C00734491",553218.600000001
"1106","C00734731",734701.57
"1107","C00734871",1000
"1108","C00734913",10000
"1109","C00735688",1119654.17
"1110","C00735894",1e+05
"1111","C00735985",267285.21
"1112","C00736009",54
"1113","C00736223",20470
"1114","C00736264",71696.18
"1115","C00736348",41
"1116","C00736421",327.77
"1117","C00736637",200
"1118","C00736876",38762456.1499988
"1119","C00736942",1250
"1120","C00736975",2900
"1121","C00737270",1100
"1122","C00737767",671700.17
"1123","C00738302",21780
"1124","C00738872",604426.87
"1125","C00738997",9532.36
"1126","C00739250",2534
"1127","C00739581",29014.75
"1128","C00739979",4811.89
"1129","C00740068",5250
"1130","C00740100",256685
"1131","C00740217",1000
"1132","C00740225",8592.01
"1133","C00740357",730.83
"1134","C00740431",4500
"1135","C00740449",18985
"1136","C00741090",299800.47
"1137","C00741355",5000
"1138","C00741371",31.25
"1139","C00741736",6326
"1140","C00741769",125000
"1141","C00741900",112662.03
"1142","C00742007",1963616.64
"1143","C00742221",19300
"1144","C00742247",341398.31
"1145","C00742395",34628.31
"1146","C00742544",0.45
"1147","C00743203",7900
"1148","C00743609",40
"1149","C00743989",250
"1150","C00744425",540
"1151","C00744458",450
"1152","C00744532",2900
