"","CAND_ID","CMTE_ID","LINKAGE_ID"
"549","H0IL11128","C00721217",237971
"550","H0IL12092","C00714584",238373
"551","H0IL12100","C00725564",237435
"552","H0IL13066","C00723619",238870
"553","H0IL14080","C00493783",235136
"554","H0IL14080","C00467522",235113
"555","H0IL14148","C00693556",237008
"556","H0IL14189","C00711580",237719
"557","H0IL15095","C00712158",237322
"558","H0IL15103","C00717967",238182
"559","H0IL15111","C00720243",237684
"560","H0IL15129","C00723916",237432
"561","H0IL15145","C00725028",237785
"562","H0IL15160","C00726216",238790
"563","H0IL15186","C00729210",238124
"564","H0IL15194","C00729426",237870
"565","H0IL16184","C00718742",238036
"566","H0IL17059","C00493783",235137
"567","H0IL17059","C00528851",235380
"568","H0IL17075","C00706911",236745
"569","H0IL17083","C00775270",245579
"570","H0IL17083","C00702613",237829
"571","H0IL17083","C00716498",237770
"572","H0IL17091","C00777243",240546
"573","H0IL17109","C00717058",237641
"574","H0IL17125","C00725002",237784
"575","H0IL17133","C00759746",238227
"576","H0IL18073","C00760231",238504
"577","H0IN01143","C00726703",237986
"578","H0IN01150","C00727529",237380
"579","H0IN01176","C00727925",238380
"580","H0IN01192","C00735613",238760
"581","H0IN01200","C00733709",238768
"582","H0IN01218","C00734111",238211
"583","H0IN01234","C00735639",238761
"584","H0IN01267","C00736298",238083
"585","H0IN02190","C00468579",235118
"586","H0IN02232","C00713842",238818
"587","H0IN03198","C00493783",235138
"588","H0IN03230","C00724666",237374
"589","H0IN03248","C00728741",237395
"590","H0IN03255","C00746263",237541
"591","H0IN04303","C00711531",237715
"592","H0IN05193","C00709436",237713
"593","H0IN05201","C00709881",239072
"594","H0IN05219","C00711887",237679
"595","H0IN05227","C00714147",238662
"596","H0IN05276","C00722439",237565
"597","H0IN05284","C00725382",238176
"598","H0IN05326","C00737767",238834
"599","H0IN05334","C00738195",239220
"600","H0IN07249","C00735753",238610
"601","H0IN07256","C00735449",238750
"602","H0IN08114","C00679605",235971
"603","H0IN08114","C00468256",235083
"604","H0IN08213","C00724310",237982
"605","H0IN08239","C00738054",238849
"606","H0IN09138","C00491068",235130
"607","H0IN09161","C00730671",237900
"608","H0IN09179","C00734004",238196
"609","H0IN09195","C00735597",238758
"610","H0KS01123","C00460659",235105
"611","H0KS01172","C00714535",238972
"612","H0KS01180","C00718973",240387
"613","H0KS01180","C00718973",238260
"614","H0KS01198","C00719278",237796
"615","H0KS01206","C00719526",238437
"616","H0KS01214","C00721845",238471
"617","H0KS01222","C00722900",238887
"618","H0KS01222","C00722827",238684
"619","H0KS02188","C00718346",237727
"620","H0KS02196","C00732792",237457
"621","H0KS02204","C00748442",239057
"622","H0KS03053","C00346858",234883
"623","H0KS03137","C00472365",235072
"624","H0KS03228","C00714089",239033
"625","H0KS03236","C00702621",238532
"626","H0KS03236","C00775288",245756
"627","H0KS03236","C00717876",238956
"628","H0KS03244","C00721027",237949
"629","H0KS03251","C00741132",237502
"630","H0KS03269","C00752311",237722
"631","H0KS04051","C00460402",236168
"632","H0KY01071","C00735241",237464
"633","H0KY02095","C00729087",238658
"634","H0KY02103","C00742411",238803
"635","H0KY03259","C00737635",238592
"636","H0KY03259","C00799932",243422
"637","H0KY04117","C00709204",237999
"638","H0KY04125","C00718106",238187
"639","H0KY05015","C00116632",234754
"640","H0KY05148","C00700682",236535
"641","H0KY05155","C00734392",238243
"642","H0KY05163","C00743054",237157
"643","H0KY06104","C00467571",235068
"644","H0KY06179","C00714279",238392
"645","H0LA01087","C00394957",234731
"646","H0LA01087","C00568162",235330
"647","H0LA02234","C00748558",238203
"648","H0LA03182","C00753269",237282
"649","H0LA03190","C00752329",237723
"650","H0LA04107","C00753905",237799
"651","H0LA05070","C00696534",235997
"652","H0LA05088","C00704080",236826
"653","H0LA05088","C00703439",238098
"654","H0LA05096","C00720193",237372
"655","H0LA05104","C00725366",238174
"656","H0LA05112","C00741934",237448
"657","H0LA05120","C00742106",238909
"658","H0LA05138","C00750000",237574
"659","H0LA05146","C00762005",237286
"660","H0LA05153","C00755546",237245
"661","H0LA05161","C00756296",238346
"662","H0LA06052","C00742841",238615
"663","H0MA01081","C00713289",238629
"664","H0MA03087","C00486159",235120
"665","H0MA04143","C00706226",236341
"666","H0MA04168","C00720482",238117
"667","H0MA04176","C00720516",238119
"668","H0MA04184","C00721282",237846
"669","H0MA04192","C00721449",238441
"670","H0MA04234","C00741116",237500
"671","H0MA04242","C00742619",239109
"672","H0MA04259","C00744888",237319
"673","H0MA05116","C00701995",237084
"674","H0MA05132","C00746966",238467
"675","H0MA06098","C00701607",236450
"676","H0MA06106","C00711671",237735
"677","H0MA06114","C00711176",238434
"678","H0MA06122","C00715821",237191
"679","H0MA06122","C00715805",237707
"680","H0MA06148","C00738609",238880
"681","H0MA07054","C00744201",237823
"682","H0MA08037","C00695486",236347
"683","H0MA08045","C00727149",237858
"684","H0MA09027","C00751586",238367
"685","H0MA09068","C00740712",237341
"686","H0MA09076","C00750125",238486
"687","H0MA10082","C00479063",235164
"688","H0MD01224","C00734830",237937
"689","H0MD01232","C00715177",238552
"690","H0MD01232","C00766022",239295
"691","H0MD02149","C00480194",235158
"692","H0MD02206","C00708651",239055
"693","H0MD02214","C00711960",237681
"694","H0MD02230","C00722082",237390
"695","H0MD04145","C00708917",237211
"696","H0MD04160","C00737049",237228
"697","H0MD05191","C00705087",236327
"698","H0MD05217","C00721902",238641
"699","H0MD05225","C00729319",237651
"700","H0MD05233","C00728089",237992
"701","H0MD05241","C00733063",238544
"702","H0MD05266","C00735969",238409
"703","H0MD06231","C00691931",236963
"704","H0MD06231","C00818906",245777
"705","H0MD06264","C00724716",239206
"706","H0MD07148","C00726935",238072
"707","H0MD07155","C00583781",235594
"708","H0MD07171","C00727685",238919
"709","H0MD07197","C00726117",237700
"710","H0MD07205","C00728675",238403
"711","H0MD07221","C00734376",238242
"712","H0MD07239","C00734905",237940
"713","H0MD07379","C00716605",239205
"714","H0MD07387","C00743229",237166
"715","H0MD08195","C00729194",238123
"716","H0MD08203","C00734426",237376
"717","H0ME01119","C00715532",238137
"718","H0ME01127","C00797373",242689
"719","H0ME01127","C00748327",237239
"720","H0ME02067","C00713958",238048
"721","H0ME02075","C00722108",238206
"722","H0ME02083","C00722454",237566
"723","H0ME02083","C00702639",239210
"724","H0ME02091","C00729251",237642
"725","H0MI00031","C00710343",238426
"726","H0MI01088","C00528851",235381
"727","H0MI01104","C00607820",235772
"728","H0MI01211","C00707604",239068
"729","H0MI01245","C00753210",238325
"730","H0MI02094","C00580043",236899
"731","H0MI02094","C00459297",235039
"732","H0MI02201","C00712950",237672
"733","H0MI03126","C00476291",235154
"734","H0MI03233","C00692830",236041
"735","H0MI03258","C00701037",237101
"736","H0MI03266","C00704270",236842
"737","H0MI03282","C00709519",238007
"738","H0MI03290","C00710814",239036
"739","H0MI03308","C00710962",238672
"740","H0MI03316","C00711317",239092
"741","H0MI03332","C00722769",238683
"742","H0MI04108","C00705301",236895
"743","H0MI04124","C00744052",237173
"744","H0MI05121","C00698597",236056
"745","H0MI05139","C00717181",237841
"746","H0MI05147","C00728758",237396
"747","H0MI05162","C00733568",238745
"748","H0MI05170","C00740076",237295
"749","H0MI06152","C00701599",236449
"750","H0MI06160","C00706770",236614
"751","H0MI06178","C00722611",238648
"752","H0MI06186","C00727826",238710
"753","H0MI06202","C00759209",237196
"754","H0MI07143","C00727321",237442
"755","H0MI07150","C00729947",238514
"756","H0MI07168","C00741157",237503
"757","H0MI08125","C00721118",237952
"758","H0MI08133","C00722587",237571
"759","H0MI08141","C00775304",245696
"760","H0MI08141","C00702647",238342
"761","H0MI08141","C00726687",237976
"762","H0MI08158","C00726992",238076
"763","H0MI09198","C00744524",238267
"764","H0MI09206","C00753533",237584
"765","H0MI10071","C00347476",237415
"766","H0MI10238","C00710673",237493
"767","H0MI10246","C00713941",238047
"768","H0MI10253","C00714840",238982
"769","H0MI10279","C00723742",237407
