"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"81","Cheri Beasley","Female","Black","","","No","No","North Carolina","5/17/22","Senator","N/A","501,766","81%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"81"
"82","Don Davis","Male","Black","","","No","No","North Carolina","5/17/22","Representative","1","42,693","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"82"
"83","Deborah K. Ross","Female","White","","","Yes","No","North Carolina","5/17/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"83"
"84","Barbara D. Gaskins","Female","Black","","","No","No","North Carolina","5/17/22","Representative","3","23,051","81%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"84"
"85","Valerie P. Foushee","Female","Black","","","No","No","North Carolina","5/17/22","Representative","4","40,806","46%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"85"
"86","Kyle Parrish","Male","White","","","No","No","North Carolina","5/17/22","Representative","5","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"86"
"87","Kathy Manning","Female","White","","","Yes","No","North Carolina","5/17/22","Representative","6","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"87"
"88","Charles Graham","Male","White","","","No","No","North Carolina","5/17/22","Representative","7","13,054","31%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"88"
"89","Scott Huffman","Male","White","","","No","No","North Carolina","5/17/22","Representative","8","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"89"
"90","Ben Clark","Male","Black","","","No","No","North Carolina","5/17/22","Representative","9","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"90"
"91","Pam Genant","Female","White","","","No","No","North Carolina","5/17/22","Representative","10","13,028","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"91"
