"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"666","Darrell Issa","Male","White","","","Yes","No","California","6/7/22","Representative","48","101,280","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/5/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"666"
"667","Brian Maryott","Male","White","","","No","No","California","6/7/22","Representative","49","35,805","39%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"667"
"668","Corey Gustafson","Male","White","","","No","No","California","6/7/22","Representative","50","51,312","85%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"668"
"669","Stan Caplan","Male","White","","","No","No","California","6/7/22","Representative","51","56,183","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"669"
"670","Tyler Geffeney","Male","White","","","No","No","California","6/7/22","Representative","52","29,348","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"670"
"671","Edwin Thelander","Male","White","","","No","No","Maine","6/14/22","Representative","1","22,346","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"671"
"672","Bruce Poliquin","Male","White","","","No","No","Maine","6/14/22","Representative","2","22,149","58%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"672"
"673","Adam Paul Laxalt","Male","White","","","No","No","Nevada","6/14/22","Senator","N/A","127,757","56%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","8/20/21","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"673"
"674","Mark Robertson","Male","White","","","No","No","Nevada","6/14/22","Representative","1","12,375","30%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A",TRUE,"674"
"675","Mark E. Amodei","Male","White","","","Yes","No","Nevada","6/14/22","Representative","2","49,779","55%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"675"
"676","April Becker","Female","White","","","No","No","Nevada","6/14/22","Representative","3","28,260","65%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"676"
"677","Sam Peters","Male","White","","","No","No","Nevada","6/14/22","Representative","4","20,956","48%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A",TRUE,"677"
"678","Tim Scott","Male","Black","","","Yes","No","South Carolina","6/14/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","3/2/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"678"
"679","Nancy Mace","Female","White","","","Yes","No","South Carolina","6/14/22","Representative","1","39,470","53%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","Yes","N/A","Yes",TRUE,"679"
"680","Joe Wilson","Male","White","","","Yes","No","South Carolina","6/14/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/12/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"680"
"681","Jeff Duncan","Male","White","","","Yes","No","South Carolina","6/14/22","Representative","3","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/12/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"681"
"682","William Timmons","Male","White","","","Yes","No","South Carolina","6/14/22","Representative","4","24,800","53%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/18/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"682"
"683","Ralph Norman","Male","White","","","Yes","No","South Carolina","6/14/22","Representative","5","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/18/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"683"
"684","Duke Buckner","Male","Black","","","No","No","South Carolina","6/14/22","Representative","6","15,638","74%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"684"
"685","Russell Fry","Male","White","","","No","Yes","South Carolina","6/14/22","Representative","7","43,509","51%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/1/22","N/A","No","N/A","N/A","N/A","N/A",TRUE,"685"
"686","John Hoeven","Male","White","","","Yes","No","North Dakota","6/14/22","Senator","N/A","59,529","78%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","3/18/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"686"
"687","Kelly Armstrong","Male","White","","","Yes","No","North Dakota","6/14/22","Representative","At-Large","70,424","99%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/12/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"687"
"688","Rob J. Wittman","Male","White","","","Yes","No","Virginia","6/21/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/20/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"688"
"689","Jen A. Kiggans","Female","White","","","No","No","Virginia","6/21/22","Representative","2","23,300","56%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"689"
"690","Terry T. Namkung","Male","Black","Asian","","No","No","Virginia","6/21/22","Representative","3","6,293","60%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"690"
"691","Leon Benjamin Sr.","Male","Black","","","No","No","Virginia","6/21/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"691"
"692","Ben L. Cline","Male","White","","","Yes","No","Virginia","6/21/22","Representative","6","19,620","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"692"
"693","Yesli I. Vega","Female","Latino (Salvadoran)","","","No","No","Virginia","6/21/22","Representative","7","10,913","29%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A",TRUE,"693"
"694","H. Morgan Griffith","Male","White","","","Yes","No","Virginia","6/21/22","Representative","9","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/9/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"694"
"695","Joe O'Dea","Male","White","","","No","No","Colorado","6/28/22","Senator","N/A","345,040","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"695"
"696","Jennifer Qualteri","Female","Unknown","","","No","No","Colorado","6/28/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"696"
"697","Marshall Dawson","Male","Unknown","","","No","No","Colorado","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"697"
"698","Lauren Boebert","Female","White","","","Yes","No","Colorado","6/28/22","Representative","3","86,322","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/15/21","N/A","No","N/A","N/A","N/A","N/A",TRUE,"698"
"699","Ken Buck","Male","White","","","Yes","No","Colorado","6/28/22","Representative","4","90,070","74%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"699"
"700","Doug Lamborn","Male","White","","","Yes","No","Colorado","6/28/22","Representative","5","46,178","47%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"700"
"701","Steven Monahan","Male","White","","","No","No","Colorado","6/28/22","Representative","6","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"701"
"702","Erik Aadland","Male","White","","","No","No","Colorado","6/28/22","Representative","7","43,469","48%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"702"
"703","Barbara Kirkmeyer","Female","White","","","No","No","Colorado","6/28/22","Representative","8","22,724","39%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A",TRUE,"703"
"704","Kathy Salvi","Female","White","","","No","No","Illinois","6/28/22","Senator","N/A","216,007","30%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"704"
"705","Eric Carlson","Male","White","","","No","No","Illinois","6/28/22","Representative","1","10,755","40%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"705"
"706","Thomas Lynch","Male","White","","","No","No","Illinois","6/28/22","Representative","2","10,289","37%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"706"
"707","Justin Burau","Male","White","","","No","No","Illinois","6/28/22","Representative","3","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"707"
"708","James Falakos","Male","White","","","No","No","Illinois","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"708"
"709","Tommy Hanson","Male","White","","","No","No","Illinois","6/28/22","Representative","5","14,806","55%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"709"
"710","Keith Pekau","Male","White","","","No","No","Illinois","6/28/22","Representative","6","20,178","39%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"710"
"711","Chris Dargis","Male","White","","","No","No","Illinois","6/28/22","Representative","8","11,055","32%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"711"
"712","Maxwell ""Max"" Rice","Male","White","","","No","No","Illinois","6/28/22","Representative","9","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"712"
"713","Joseph Severino","Male","White","","","No","No","Illinois","6/28/22","Representative","10","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"713"
"714","Catalina Lauf","Female","Latino (Guatemalan)","","","No","No","Illinois","6/28/22","Representative","11","15,360","31%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A",TRUE,"714"
"715","Mike Bost","Male","White","","","Yes","No","Illinois","6/28/22","Representative","12","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"715"
"716","Regan Deering","Female","White","","","No","No","Illinois","6/28/22","Representative","13","14,885","35%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"716"
"717","Scott R. Gryder","Male","White","","","No","No","Illinois","6/28/22","Representative","14","13,998","31%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"717"
"718","Mary Miller","Female","White","","","Yes","Yes","Illinois","6/28/22","Representative","15","64,549","57%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","1/1/22","Yes","N/A","N/A","N/A","Yes","N/A",TRUE,"718"
"719","Darin LaHood","Male","White","","","Yes","No","Illinois","6/28/22","Representative","16","56,582","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"719"
"720","Esther Joy King","Female","White","","","No","No","Illinois","6/28/22","Representative","17","31,065","69%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"720"
"721","Joe Pinion","Male","Black","","","No","No","New York","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"721"
"722","James Lankford","Male","White","","","Yes","No","Oklahoma","6/28/22","Senator","N/A","243,132","68%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"722"
"723","Markwayne Mullin","Male","White","Native American (Cherokee)","","No","No","Oklahoma","6/28/22","Senator","N/A","156,087","44%","Made runoff","183118","65%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes (runoff only)","7/9/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"723"
"724","Kevin Hern","Male","White","","","Yes","No","Oklahoma","6/28/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"724"
"725","Josh Brecheen","Male","White","","","No","No","Oklahoma","6/28/22","Representative","2","10,579","14%","Made runoff","33517","52%","Won",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"725"
"726","Frank D. Lucas","Male","White","","","Yes","No","Oklahoma","6/28/22","Representative","3","44,442","61%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","4/11/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"726"
"727","Tom Cole","Male","White","Native American (Chickasaw)","","Yes","No","Oklahoma","6/28/22","Representative","4","43,894","70%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"727"
"728","Stephanie Bice","Female","White","Middle Eastern (Iranian)","","Yes","No","Oklahoma","6/28/22","Representative","5","51,612","68%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Yes",TRUE,"728"
"729","Mike Lee","Male","White","","","Yes","No","Utah","6/28/22","Senator","N/A","258,089","62%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","4/1/22","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"729"
"730","Blake D. Moore","Male","White","","","Yes","No","Utah","6/28/22","Representative","1","58,408","58%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"730"
"731","Chris Stewart","Male","White","","","Yes","No","Utah","6/28/22","Representative","2","75,586","73%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"731"
"732","John Curtis","Male","White","","","Yes","No","Utah","6/28/22","Representative","3","78,341","70%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"732"
"733","Burgess Owens","Male","Black","","","Yes","No","Utah","6/28/22","Representative","4","56,397","62%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","No","N/A","N/A","N/A","N/A",TRUE,"733"
"734","Chris Chaffee","Male","White","","","No","No","Maryland","7/19/22","Senator","N/A","50,514","21%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"734"
"735","Andy Harris","Male","White","","","Yes","No","Maryland","7/19/22","Representative","1","67,933","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"735"
"736","Nicolee Ambrose","Female","White","","","No","No","Maryland","7/19/22","Representative","2","12,201","32%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A",TRUE,"736"
"737","Yuripzy Morgan","Female","Latino (Salvadoran / Mexican)","","","No","No","Maryland","7/19/22","Representative","3","13,198","34%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A",TRUE,"737"
"738","Jeff Warner","Male","White","","","No","No","Maryland","7/19/22","Representative","4","2,414","59%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"738"
"739","Chris Palombi","Male","White","","","No","No","Maryland","7/19/22","Representative","5","24,423","68%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"739"
"740","Neil C. Parrott","Male","White","","","No","No","Maryland","7/19/22","Representative","6","31,665","63%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"740"
"741","Scott M. Collier","Male","White","","","No","No","Maryland","7/19/22","Representative","7","2,873","35%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"741"
"742","Gregory Thomas Coll","Male","White","","","No","No","Maryland","7/19/22","Representative","8","11,445","84%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"742"
"743","Blake Masters","Male","White","","","No","No","Arizona","8/2/22","Senator","N/A","327,198","40%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/2/22","Yes","N/A","N/A","N/A","N/A","N/A",TRUE,"743"
"744","David Schweikert","Male","White","","","Yes","No","Arizona","8/2/22","Representative","1","52,067","44%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"744"
"745","Eli Crane","Male","White","","","No","No","Arizona","8/2/22","Representative","2","38,681","36%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","7/22/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"745"
"746","Jeff Zink","Male","White","","","No","No","Arizona","8/2/22","Representative","3","13,894","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"746"
"747","Kelly Cooper","Male","White","","","No","No","Arizona","8/2/22","Representative","4","20,281","28%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","No","No","No","No",TRUE,"747"
"748","Andy Biggs","Male","White","","","Yes","No","Arizona","8/2/22","Representative","5","98,114","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A",TRUE,"748"
"749","Juan Ciscomani","Male","Latino","","","No","No","Arizona","8/2/22","Representative","6","49,559","47%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"749"
"750","Luis Pozzolo","Male","Latino (Uruguayan)","","","No","No","Arizona","8/2/22","Representative","7","20,413","69%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"750"
"751","Debbie Lesko","Female","White","","","Yes","No","Arizona","8/2/22","Representative","8","100,629","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","3/15/22","N/A","N/A","N/A","Yes","Yes","N/A",TRUE,"751"
"752","Paul Gosar","Male","White","","","Yes","No","Arizona","8/2/22","Representative","9","67,340","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/18/21","N/A","No","N/A","N/A","N/A","N/A",TRUE,"752"
"753","Jerry Moran","Male","White","","","Yes","No","Kansas","8/2/22","Senator","N/A","383,332","80%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","Yes","2/25/21","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"753"
"754","Tracey Mann","Male","White","","","Yes","No","Kansas","8/2/22","Representative","1","117,899","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/16/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"754"
"755","Jake LaTurner","Male","White","","","Yes","No","Kansas","8/2/22","Representative","2","94,578","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"755"
"756","Amanda L. Adkins","Female","White","","","No","No","Kansas","8/2/22","Representative","3","96,896","77%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes",TRUE,"756"
"757","Ron Estes","Male","White","","","Yes","No","Kansas","8/2/22","Representative","4","102,915","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"757"
"758","Jack Bergman","Male","White","","","Yes","No","Michigan","8/2/22","Representative","1","111,911","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"758"
"759","John Moolenaar","Male","White","","","Yes","No","Michigan","8/2/22","Representative","2","77,394","65%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/9/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"759"
"760","John Gibbs","Male","Black","","","No","Yes","Michigan","8/2/22","Representative","3","54,136","52%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","11/15/21","N/A","No","N/A","N/A","N/A","N/A",TRUE,"760"
"761","Bill Huizenga","Male","White","","","Yes","No","Michigan","8/2/22","Representative","4","88,851","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","3/11/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"761"
"762","Tim Walberg","Male","White","","","Yes","No","Michigan","8/2/22","Representative","5","67,582","67%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","7/19/22","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"762"
"763","Whittney Williams","Female","Asian (Taiwanese)","","","No","No","Michigan","8/2/22","Representative","6","30,564","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"763"
"764","Tom Barrett","Male","White","","","No","No","Michigan","8/2/22","Representative","7","75,491","96%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",TRUE,"764"
