"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"2494","2494","WALSINGHAM, BLAIR NICOLE","DEM","H0TN01092","TN","1","WALSINGHAM","DEM"
"2495","2495","OLSEN, MARTIN","DEM","H8TN01079","TN","1","OLSEN","DEM"
"2496","2496","DARDEN, STEPHEN MATSON MR.","REP","H0TN01100","TN","1","DARDEN","GOP"
"2497","2497","HARSHBARGER, DIANA","REP","H0TN01118","TN","1","HARSHBARGER","GOP"
"2498","2498","GAPP, JOSHUA","REP","H0TN01142","TN","1","GAPP","GOP"
"2499","2499","HARMON, MARK DESMOND DR.","DEM","H2TN02120","TN","2","HARMON","DEM"
"2500","2500","HOYOS, RENEE","DEM","H8TN02176","TN","2","HOYOS","DEM"
"2501","2501","DUNCAN, JOHN J REP. JR.","REP","H8TN02069","TN","2","DUNCAN","GOP"
"2502","2502","BURCHETT, TIM","REP","H8TN02119","TN","2","BURCHETT","GOP"
"2503","2503","MATLOCK, JAMES LLOYD","REP","H8TN02127","TN","2","MATLOCK","GOP"
"2504","2504","EMERT, JASON","REP","H8TN02200","TN","2","EMERT","GOP"
"2505","2505","GORMAN, MEG","DEM","H0TN03452","TN","3","GORMAN","DEM"
"2506","2506","DOSS, NATHANIEL MR. III","DEM","H2TN03201","TN","3","DOSS","DEM"
"2507","2507","GORMAN, MARY","DEM","H2TN03219","TN","3","GORMAN","DEM"
"2508","2508","ADAMS, MATT","DEM","H2TN03235","TN","3","ADAMS","DEM"
"2509","2509","FLEISCHMANN, CHARLES J","REP","H0TN03254","TN","3","FLEISCHMANN","GOP"
"2510","2510","MORGAN, KENNETH FARRELL MR. SR","REP","H2TN03227","TN","3","MORGAN","GOP"
"2511","2511","CASEY, SANDY FOR","REP","H2TN03243","TN","3","CASEY","GOP"
"2512","2512","HALE, CHRISTOPHER JOLLY","DEM","H8TN04107","TN","4","HALE","DEM"
"2513","2513","STEELE, RUSSELL","DEM","H8TN04123","TN","4","STEELE","DEM"
"2514","2514","DESJARLAIS, SCOTT HON.","REP","H0TN04195","TN","4","DESJARLAIS","GOP"
"2515","2515","MEYER, LAWRENCE DOUG NORVILLE DOUGLAS ","REP","H0TN04260","TN","4","MEYER","GOP"
"2516","2516","MEYER, LAWRENCE N. D.","REP","H2TN04282","TN","4","MEYER","GOP"
"2517","2517","HUBBARD, STEVEN ERICH MR.","IND","H2TN43017","TN","4","HUBBARD","IND"
"2518","2518","BAUTISTA-JONES, JUSTIN","DEM","H0TN05333","TN","5","BAUTISTA-JONES","DEM"
"2519","2519","HAYNES, KEEDA","DEM","H0TN05382","TN","5","HAYNES","DEM"
"2520","2520","COOPER, JAMES","DEM","H2TN05131","TN","5","COOPER","DEM"
"2521","2521","CAMPBELL, HEIDI","DEM","H2TN05438","TN","5","CAMPBELL","DEM"
"2522","2522","MCKNIGHT, QUINCY","REP","H2TN05297","TN","5","MCKNIGHT","GOP"
"2523","2523","STARBUCK, ROBBY","REP","H2TN05339","TN","5","STARBUCK","GOP"
"2524","2524","BROOKS, NATISHA LOUISE","REP","H2TN05347","TN","5","BROOKS","GOP"
