"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"50","Arthur Dixon","Male","Black","","","No","No","Texas","3/1/22","Representative","30","677","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"51","Jane Hope Hamilton","Female","Black","","","No","No","Texas","3/1/22","Representative","30","9,436","17%","Made runoff","11,369","39%","Lost","N/A","N/A","N/A","N/A","No","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"52","Vonciel Jones Hill","Female","Black","","","No","No","Texas","3/1/22","Representative","30","1,886","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"53","Keisha Williams-Lankford","Female","Black","","","No","No","Texas","3/1/22","Representative","30","4,323","8%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"54","Barbara Mallory Caraway","Female","Black","","","No","No","Texas","3/1/22","Representative","30","4,277","8%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"55","Jessica Mason","Female","Black","","","No","No","Texas","3/1/22","Representative","30","1,858","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"56","Abel Mulugheta","Male","Black (Eritrean)","","","No","No","Texas","3/1/22","Representative","30","3,284","6%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"57","Roy Williams Jr.","Male","Black","","","No","No","Texas","3/1/22","Representative","30","2,746","5%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"58","Colin Allred","Male","Black","","","Yes","No","Texas","3/1/22","Representative","32","31,805","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"59","Carlos Quintanilla","Male","Latino","","","No","Yes","Texas","3/1/22","Representative","33","7,373","30%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
