"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"1977","Riley Kuntz","Male","White","","","No","Yes","North Dakota","6/14/22","Senator","N/A","16,400","21%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1978","Kelly Armstrong","Male","White","","","Yes","No","North Dakota","6/14/22","Representative","At-Large","70,424","99%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/12/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1979","Rob J. Wittman","Male","White","","","Yes","No","Virginia","6/21/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/20/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1980","Andrew G. ""Andy"" Baan","Male","White","","","No","No","Virginia","6/21/22","Representative","2","1,237","3%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","No","No","No","No"
"1981","Jarome Bell","Male","Black","","","No","No","Virginia","6/21/22","Representative","2","11,330","27%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","No","No","No","No"
"1982","Jen A. Kiggans","Female","White","","","No","No","Virginia","6/21/22","Representative","2","23,300","56%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes"
"1983","L. Tommy Altman III","Male","White","","","No","No","Virginia","6/21/22","Representative","2","5,972","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","No","No","No","No"
"1984","Ted W. Engquist","Male","White","","","No","No","Virginia","6/21/22","Representative","3","4,116","40%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1985","Terry T. Namkung","Male","Black","Asian","","No","No","Virginia","6/21/22","Representative","3","6,293","60%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1986","Leon Benjamin Sr.","Male","Black","","","No","No","Virginia","6/21/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1987","Ben L. Cline","Male","White","","","Yes","No","Virginia","6/21/22","Representative","6","19,620","82%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","5/21/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1988","Merritt D. Hale","Male","White","","","No","Yes","Virginia","6/21/22","Representative","6","4,264","18%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1989","Bryce E. Reeves","Male","White","","","No","No","Virginia","6/21/22","Representative","7","7,580","20%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"1990","Crystal L. Vanuch","Female","White","","","No","No","Virginia","6/21/22","Representative","7","6,400","17%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"1991","David L. Ross","Male","White","","","No","No","Virginia","6/21/22","Representative","7","2,284","6%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"1992","Derrick M. Anderson","Male","White","","","No","No","Virginia","6/21/22","Representative","7","8,966","24%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"1993","Gina R. Ciarcia","Female","White","","","No","No","Virginia","6/21/22","Representative","7","1,565","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"1994","Yesli I. Vega","Female","Latino (Salvadoran)","","","No","No","Virginia","6/21/22","Representative","7","10,913","29%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A"
"1995","H. Morgan Griffith","Male","White","","","Yes","No","Virginia","6/21/22","Representative","9","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","2/9/22","N/A","N/A","N/A","N/A","N/A","N/A"
"1996","Ron Hanks","Male","White","","","No","No","Colorado","6/28/22","Senator","N/A","288,477","46%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1997","Joe O'Dea","Male","White","","","No","No","Colorado","6/28/22","Senator","N/A","345,040","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1998","Jennifer Qualteri","Female","Unknown","","","No","No","Colorado","6/28/22","Representative","1","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"1999","Marshall Dawson","Male","Unknown","","","No","No","Colorado","6/28/22","Representative","2","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2000","Lauren Boebert","Female","White","","","Yes","No","Colorado","6/28/22","Representative","3","86,322","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","12/15/21","N/A","No","N/A","N/A","N/A","N/A"
"2001","Don Coram","Male","White","","","No","Yes","Colorado","6/28/22","Representative","3","44,486","34%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2002","Robert Lewis","Male","White","","","No","Yes","Colorado","6/28/22","Representative","4","31,585","26%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2003","Ken Buck","Male","White","","","Yes","No","Colorado","6/28/22","Representative","4","90,070","74%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2004","Dave Williams","Male","Latino","","","No","Yes","Colorado","6/28/22","Representative","5","32,669","33%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2005","Rebecca Keltie","Female","White","","","No","Yes","Colorado","6/28/22","Representative","5","12,631","13%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2006","Doug Lamborn","Male","White","","","Yes","No","Colorado","6/28/22","Representative","5","46,178","47%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2007","Andrew Heaton","Male","White","","","No","Yes","Colorado","6/28/22","Representative","5","6,121","6%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2008","Steven Monahan","Male","White","","","No","No","Colorado","6/28/22","Representative","6","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2009","Erik Aadland","Male","White","","","No","No","Colorado","6/28/22","Representative","7","43,469","48%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2010","Laurel Imer","Female","White","","","No","No","Colorado","6/28/22","Representative","7","14,665","16%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2011","Tim Reichert","Male","White","","","No","No","Colorado","6/28/22","Representative","7","32,583","36%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2012","Lori A. Saine","Female","White","","","No","No","Colorado","6/28/22","Representative","8","12,357","21%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"2013","Jan Kulmann","Female","White","","","No","No","Colorado","6/28/22","Representative","8","13,398","23%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A"
"2014","Barbara Kirkmeyer","Female","White","","","No","No","Colorado","6/28/22","Representative","8","22,724","39%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"2015","Tyler Allcorn","Male","White","","","No","No","Colorado","6/28/22","Representative","8","9,743","17%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","N/A","N/A"
"2016","Greg Lopez","Male","Latino","","","No","No","Colorado","6/28/22","Governor","N/A","292,171","46%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2017","Heidi Ganahl","Female","White","","","No","No","Colorado","6/28/22","Governor","N/A","341,145","54%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2018","Peggy Hubbard","Female","Black","","","No","No","Illinois","6/28/22","Senator","N/A","177,180","25%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2019","Casey Chlebek","Male","White","","","No","No","Illinois","6/28/22","Senator","N/A","76,213","11%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","Robert ""Bobby"" Piton","Male","White","","","No","No","Illinois","6/28/22","Senator","N/A","65,461","9%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2021","Jimmy Lee Tillman II","Male","Black","","","No","No","Illinois","6/28/22","Senator","N/A","36,342","5%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","Anthony W. Williams","Male","Black","","","No","No","Illinois","6/28/22","Senator","N/A","52,890","7%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","Kathy Salvi","Female","White","","","No","No","Illinois","6/28/22","Senator","N/A","216,007","30%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","Matthew ""Matt"" Dubiel","Male","White","","","No","No","Illinois","6/28/22","Senator","N/A","90,538","13%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2025","Eric Carlson","Male","White","","","No","No","Illinois","6/28/22","Representative","1","10,755","40%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2026","Philanise White","Female","Black","","","No","No","Illinois","6/28/22","Representative","1","1,598","6%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2027","Jeffery T. Regnier","Male","White","","","No","No","Illinois","6/28/22","Representative","1","10,375","39%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2028","Geno Young","Male","Black","","","No","No","Illinois","6/28/22","Representative","1","3,853","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2029","Ashley Ramos","Female","Latino","","","No","No","Illinois","6/28/22","Representative","2","7,524","27%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2030","Shane Cultra","Male","White","","","No","No","Illinois","6/28/22","Representative","2","9,869","36%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2031","Thomas Lynch","Male","White","","","No","No","Illinois","6/28/22","Representative","2","10,289","37%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2032","Justin Burau","Male","White","","","No","No","Illinois","6/28/22","Representative","3","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2033","James Falakos","Male","White","","","No","No","Illinois","6/28/22","Representative","4","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2034","Tommy Hanson","Male","White","","","No","No","Illinois","6/28/22","Representative","5","14,806","55%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2035","Malgorzata McGonigal","Female","White","","","No","No","Illinois","6/28/22","Representative","5","11,916","45%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2036","Keith Pekau","Male","White","","","No","No","Illinois","6/28/22","Representative","6","20,178","39%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2037","Niki Conforti","Female","White","","","No","No","Illinois","6/28/22","Representative","6","5,947","11%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2038","Scott R. Kaspar","Male","White","","","No","No","Illinois","6/28/22","Representative","6","3,573","7%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2039","Gary Grasso","Male","White","","","No","No","Illinois","6/28/22","Representative","6","14,150","27%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2040","Catherine A. O'Shea","Female","White","","","No","No","Illinois","6/28/22","Representative","6","5,243","10%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2041","Robert ""Rob"" Cruz","Male","White","","","No","No","Illinois","6/28/22","Representative","6","3,003","6%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2042","Peter Kopsaftis","Male","White","","","No","No","Illinois","6/28/22","Representative","8","6,101","18%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2043","Chad Koppie","Male","White","","","No","No","Illinois","6/28/22","Representative","8","4,886","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2044","Phillip Owen Wood","Male","White","","","No","No","Illinois","6/28/22","Representative","8","6,529","19%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2045","Karen Kolodziej","Female","White","","","No","No","Illinois","6/28/22","Representative","8","6,017","17%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2046","Chris Dargis","Male","White","","","No","No","Illinois","6/28/22","Representative","8","11,055","32%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2047","Maxwell ""Max"" Rice","Male","White","","","No","No","Illinois","6/28/22","Representative","9","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2048","Joseph Severino","Male","White","","","No","No","Illinois","6/28/22","Representative","10","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2049","Jerry Evans","Male","White","","","No","No","Illinois","6/28/22","Representative","11","11,158","23%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","No","N/A","N/A","N/A"
"2050","Andrea Heeg","Female","White","","","No","No","Illinois","6/28/22","Representative","11","3,334","7%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","No","N/A","N/A","N/A"
"2051","Catalina Lauf","Female","Latino (Guatemalan)","","","No","No","Illinois","6/28/22","Representative","11","15,360","31%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","Yes","N/A","Yes","N/A","N/A","N/A"
"2052","Susan L. Hathaway-Altman","Female","White","","","No","No","Illinois","6/28/22","Representative","11","6,017","12%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","No","N/A","N/A","N/A"
"2053","Mark Joseph Carroll","Male","White","","","No","No","Illinois","6/28/22","Representative","11","9,955","20%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","No","N/A","N/A","N/A"
"2054","Cassandra Tanner Miller","Female","White","","","No","No","Illinois","6/28/22","Representative","11","3,730","8%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","No","N/A","No","N/A","N/A","N/A"
"2055","Mike Bost","Male","White","","","Yes","No","Illinois","6/28/22","Representative","12","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A"
"2056","Jesse Reising","Male","White","","","No","No","Illinois","6/28/22","Representative","13","14,184","33%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","No","N/A"
"2057","Matt Hausman","Male","White","","","No","No","Illinois","6/28/22","Representative","13","10,289","24%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","No","N/A"
"2058","Regan Deering","Female","White","","","No","No","Illinois","6/28/22","Representative","13","14,885","35%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A"
"2059","Terry Martin","Male","White","","","No","No","Illinois","6/28/22","Representative","13","3,694","9%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","No","No","N/A"
"2060","James T. ""Jim"" Marter","Male","White","","","No","No","Illinois","6/28/22","Representative","14","10,950","24%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2061","Scott R. Gryder","Male","White","","","No","No","Illinois","6/28/22","Representative","14","13,998","31%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2062","Mike Koolidge","Male","White","","","No","No","Illinois","6/28/22","Representative","14","9,378","21%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2063","Jaime Milton","Female","White","","","No","No","Illinois","6/28/22","Representative","14","4,612","10%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2064","Jack Lombardi II","Male","White","","","No","No","Illinois","6/28/22","Representative","14","6,372","14%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2065","Rodney Davis","Male","White","","","Yes","Yes","Illinois","6/28/22","Representative","15","47,852","43%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","No","N/A","N/A","N/A","No","N/A"
"2066","Mary Miller","Female","White","","","Yes","Yes","Illinois","6/28/22","Representative","15","64,549","57%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","1/1/22","Yes","N/A","N/A","N/A","Yes","N/A"
"2067","Darin LaHood","Male","White","","","Yes","No","Illinois","6/28/22","Representative","16","56,582","66%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/27/22","N/A","N/A","N/A","N/A","N/A","N/A"
"2068","Walt Peters","Male","White","","","No","Yes","Illinois","6/28/22","Representative","16","11,278","13%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2069","JoAnne Guillemette","Female","Black","","","No","Yes","Illinois","6/28/22","Representative","16","10,476","12%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2070","Michael Rebresh","Male","White","","","No","Yes","Illinois","6/28/22","Representative","16","6,911","8%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2071","Charles ""Charlie"" William Helmick Jr.","Male","White","","","No","No","Illinois","6/28/22","Representative","17","14,274","31%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"No","GOP","N/A","N/A","N/A","N/A","No","No","No","No"
"2072","Esther Joy King","Female","White","","","No","No","Illinois","6/28/22","Representative","17","31,065","69%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","GOP","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes"
"2073","Richard C. Irvin","Male","Black","","","No","No","Illinois","6/28/22","Governor","N/A","119,592","15%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2074","Gary Rabine","Male","White","","","No","No","Illinois","6/28/22","Governor","N/A","52,194","7%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2075","Darren Bailey","Male","White","","","No","No","Illinois","6/28/22","Governor","N/A","458,102","57%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","Yes","6/25/22","N/A","N/A","N/A","N/A","N/A","N/A"
"2076","Paul Schimpf","Male","White","","","No","No","Illinois","6/28/22","Governor","N/A","34,676","4%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2077","Jesse Sullivan","Male","White","","","No","No","Illinois","6/28/22","Governor","N/A","125,094","16%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2078","Max Solomon","Male","Black","","","No","No","Illinois","6/28/22","Governor","N/A","7,371","1%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2079","Joe Pinion","Male","Black","","","No","No","New York","6/28/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2080","Andrew Giuliani","Male","White","","","No","No","New York","6/28/22","Governor","N/A","103,267","23%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2081","Harry Wilson","Male","White","","","No","No","New York","6/28/22","Governor","N/A","66,736","15%","Lost","N/A","N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,"N/A","GOP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
